ID,Year,JT,Age,OR_cal,IW_cal
TS_95,19,61,106,821.9043146,15.77714047
TS_95,19,61,107,837.6814551,15.43502358
TS_95,19,61,108,853.1164787,16.04348147
TS_95,19,61,109,869.1599602,11.85104907
TS_95,19,61,110,881.0110092,15.73962765
TS_95,19,61,111,896.7506369,18.50432225
TS_95,19,61,112,915.2549591,15.71036766
TS_95,19,61,113,930.9653268,18.50432225
TS_95,19,61,114,949.469649,16.84175421
TS_95,19,61,115,966.3114033,13.56313403
TS_95,19,61,116,979.8745373,16.00671891
TS_95,19,61,117,995.8812562,12.40473825
TS_95,19,61,118,1008.285994,13.2577797
TS_95,19,61,119,1021.543774,10.15546975
TS_95,19,61,120,1031.699244,13.07471715
TS_95,19,61,121,1044.773961,12.26744134
TS_95,19,61,122,1057.041402,14.33964933
TS_95,19,61,123,1071.381052,13.03345305
TS_95,19,61,124,1084.414505,15.41551692
TS_95,19,61,125,1099.830022,"""NA"""
TS_96,13,65,1,10.72941585,1.403729603
TS_96,13,65,2,12.13314545,1.421735755
TS_96,13,65,3,13.55488121,1.298693716
TS_96,13,65,4,14.85357492,1.351961916
TS_96,13,65,5,16.20553684,1.130636297
TS_96,13,65,6,17.33617314,0.976833748
TS_96,13,65,7,18.31300688,1.298693716
TS_96,13,65,8,19.6117006,1.102126556
TS_96,13,65,9,20.71382716,0.977584005
TS_96,13,65,10,21.69141116,1.202660905
TS_96,13,65,11,22.89407207,1.057861433
TS_96,13,65,12,23.9519335,1.122383477
TS_96,13,65,13,25.07431698,1.208662956
TS_96,13,65,14,26.28297993,1.490759338
TS_96,13,65,15,27.77373927,1.834376739
TS_96,13,65,16,29.60811601,1.843379815
TS_96,13,65,17,31.45149583,1.971673649
TS_96,13,65,18,33.42316947,1.49451062
TS_96,13,65,19,34.91768009,2.324294126
TS_96,13,65,20,37.24197422,2.546370001
TS_96,13,65,21,39.78834422,2.086462868
TS_96,13,65,22,41.87480709,2.346801816
TS_96,13,65,23,44.22160891,2.667911528
TS_96,13,65,24,46.88952043,3.1975925
TS_96,13,65,25,50.08711293,2.765444851
TS_96,13,65,26,52.85255779,2.738435623
TS_96,13,65,27,55.59099341,3.265115571
TS_96,13,65,28,58.85610898,2.955259704
TS_96,13,65,29,61.81136868,2.965013036
TS_96,13,65,30,64.77638172,3.339390948
TS_96,13,65,31,68.11577267,3.467684781
TS_96,13,65,32,71.58345745,3.019781749
TS_96,13,65,33,74.6032392,3.439925297
TS_96,13,65,34,78.04316449,3.511199648
TS_96,13,65,35,81.55436414,3.866821151
